stroke_team,admissions,age,age > 80,male,prior_disability,prior_disability_0-2,stroke_severity,onset_known,onset_to_arrival_time,onset_within_4hrs,precise_onset_known,onset_during_sleep,arrive_by_ambulance,call_to_ambulance_arrival_time,ambulance_on_scene_time,ambulance_travel_to_hospital_time,arrival_to_scan_time,thrombolysis,scan_to_thrombolysis_time,discharge_disability,discharge_disability_0-2,discharge_disability_5-6
Addenbrooke's Hospital,3591.0,75.44,0.44,0.53,0.79,0.89,6.54,0.59,148.0,0.4,0.45,0.14,0.81,19.0,28.0,21.0,66.0,0.15,20.0,2.46,0.6,0.18
Basildon University Hospital,2917.0,73.31,0.39,0.54,0.74,0.87,5.64,0.65,180.0,0.37,0.35,0.07,0.76,21.0,36.0,13.0,44.0,0.13,33.0,2.41,0.58,0.2
Blackpool Victoria Hospital,2901.0,73.97,0.39,0.52,0.99,0.82,7.98,0.45,125.0,0.31,0.25,0.06,0.78,19.0,30.0,17.0,83.0,0.09,36.0,2.25,0.56,0.2
Bradford and Airedale SU,3535.0,72.99,0.36,0.54,1.03,0.84,7.46,0.44,146.0,0.28,0.37,0.17,0.76,19.0,31.0,13.0,96.0,0.08,48.0,2.65,0.51,0.2
Bronglais Hospital,585.0,75.77,0.43,0.55,0.77,0.83,7.36,0.88,245.0,0.44,0.32,0.14,0.81,45.0,21.0,16.0,20.0,0.23,39.5,2.94,0.4,0.25
Broomfield Hospital,2712.0,74.84,0.41,0.54,0.84,0.82,7.34,0.56,173.0,0.34,0.31,0.1,0.74,24.0,33.0,20.0,50.0,0.1,31.0,2.55,0.54,0.22
Calderdale Royal Hospital,3777.0,74.66,0.4,0.53,0.99,0.83,8.05,0.55,142.0,0.35,0.34,0.15,0.73,18.0,30.0,15.0,70.0,0.14,28.0,2.65,0.59,0.19
Charing Cross Hospital HASU,3099.0,69.22,0.27,0.58,1.07,0.8,5.6,0.67,229.0,0.34,0.3,0.17,0.72,17.0,25.0,17.0,18.0,0.14,17.0,2.43,0.58,0.15
Chesterfield Royal,3135.0,75.43,0.41,0.52,0.83,0.82,7.36,0.59,150.0,0.37,0.33,0.14,0.79,24.0,32.0,15.0,66.0,0.08,52.0,2.67,0.51,0.21
Colchester General Hospital,3081.0,75.67,0.43,0.52,1.46,0.69,8.29,0.75,196.5,0.42,0.35,0.12,0.84,25.0,33.0,22.0,48.0,0.1,25.0,3.08,0.41,0.26
