Key indicator,Response required to meet indicator,key_indicator_group,question,property
"Total Key Indicators Achieved 
(Post 72hrs sites receive points from KIs 3,4, and 6  from their main acute site)",,,,ki_total
1,Key Indicator 1:  Minimum establishment of band 6 and band 7 nurses per 10 beds (Criterion: Sum of band 6 and 7 (WTE) nurses per 10 stroke unit beds is equal to/above 2.375 per 10 beds for ALL stroke beds.) ,Staffing/Workforce,,ki1
1,Band 6 nurses WTE per 10 beds,Staffing/Workforce,,ki1_nurses6_wte
1,Band 7 nurses WTE per 10 beds,Staffing/Workforce,,ki1_nurses7_wte
2,Key Indicator 2: Presence of a clinical psychologist (qualified)                                     (Criterion: Presence of at least one (WTE) qualified clinical psychologist per 30 stroke unit beds),Staffing/Workforce,,ki2
2,Clinical psychologist WTE per 30 beds (qualified),Staffing/Workforce,,ki2_psych_wte
3,Key Indicator 3:  Out of hours presence of stroke specialist nurse                             (Criterion: Met if there is at least one stroke specialist nurse per 10 beds on 10pm weekdays and 10am and 10pm weekends),7-day working,,ki3
3,Out of hours,7-day working,1.7. Do you have stroke specialist nurses (band 6 or above) who undertake hyper-acute assessments of suspected stroke patients in A&E?,ki3_strokenurse_outofhours
3,Registered nurses Type 1 Beds (weekdays 10 pm),7-day working,1.7. Do you have stroke specialist nurses (band 6 or above) who undertake hyper-acute assessments of suspected stroke patients in A&E?,ki3_strokenurse_bed1_weekdays10pm
3,Registered nurses Type 1 Beds (Saturdays),7-day working,1.7. Do you have stroke specialist nurses (band 6 or above) who undertake hyper-acute assessments of suspected stroke patients in A&E?,ki3_strokenurse_bed1_saturdays
3,Registered nurses Type 1 Beds (Saturdays 10 pm),7-day working,1.7. Do you have stroke specialist nurses (band 6 or above) who undertake hyper-acute assessments of suspected stroke patients in A&E?,ki3_strokenurse_bed1_saturdays10pm
3,Registered nurses Type 1 Beds (Sundays),7-day working,1.7. Do you have stroke specialist nurses (band 6 or above) who undertake hyper-acute assessments of suspected stroke patients in A&E?,ki3_strokenurse_bed1_sundays
